run number, parent duration, child duration
297,1529,1701
298,1601,1664
299,1252,1319
300,1336,1408
301,1387,1429
302,1377,1468
303,1375,1421
304,1377,1452
305,1686,1778
306,1406,1475
307,1324,1391
308,1319,1389
309,1336,1404
310,1324,1392
311,1380,1464
312,11218,11274
313,1377,1441
314,1378,1447
315,4606,4669
316,1385,1470
317,1361,1409
318,1325,1363
319,1295,1336
320,1321,1411
321,1424,1496
322,1988,2031
323,1443,1512
324,1397,1464
325,1417,1486
326,1413,1452
327,1361,1447
328,1401,1475
329,1558,1662
330,1831,1900
331,1416,1481
332,1366,1435
333,1390,1464
334,1437,1500
335,1373,1441
336,1415,1456
337,1821,1887
338,1463,1529
339,1414,1481
340,1440,1508
341,1463,1535
342,1502,1544
343,2122,2175
344,1821,1882
345,1461,1528
